0,MODERATE,6.654390953516454E-4
1000,MODERATE,4.0385742065485853E-4
2000,MODERATE,3.0305859113288064E-4
3000,MODERATE,4.7375901460155513E-4
4000,MODERATE,4.470285160020184E-4
5000,MODERATE,3.5798354401632887E-4
6000,MODERATE,3.783734452849231E-4
7000,MODERATE,6.852679400395889E-4
8000,MODERATE,7.69932694390955E-4
9000,MODERATE,4.891010226605276E-4
10000,MODERATE,3.6988134145187553E-4
11000,MODERATE,7.026138857368568E-4
12000,ABRUPT,9.389895959204984E-4
13000,ABRUPT,9.31978541738684E-4
14000,ABRUPT,8.665434111919023E-4
15000,ABRUPT,8.820161622984403E-4
16000,MODERATE,3.7101135160796304E-4
17000,MODERATE,5.885501306871382E-4
18000,MODERATE,6.116819053158329E-4
19000,MODERATE,3.923535451389743E-4
20000,MODERATE,3.805216616858511E-4
21000,MODERATE,5.701985323918982E-4
22000,MODERATE,7.8691700495935E-4
23000,MODERATE,4.227132767906478E-4
24000,MODERATE,4.972604531471109E-4
25000,ABRUPT,8.43520424981537E-4
26000,MODERATE,5.160034399467696E-4
27000,MODERATE,4.165778973756667E-4
28000,ABRUPT,8.23967808460838E-4
29000,ABRUPT,9.310347206258833E-4
30000,ABRUPT,9.184758487725878E-4
31000,ABRUPT,9.779817503310754E-4
32000,MODERATE,6.262383534479765E-4
33000,MODERATE,5.316748937847378E-4
34000,MODERATE,4.668051055873348E-4
35000,MODERATE,5.216062251586346E-4
36000,MODERATE,5.52067783352287E-4
37000,GRADUAL,4.016127676374909E-4
38000,MODERATE,6.152024319614269E-4
39000,MODERATE,5.538299580349741E-4
40000,MODERATE,5.457256027808063E-4
41000,MODERATE,5.143920893731003E-4
42000,MODERATE,6.586612008111135E-4
43000,MODERATE,4.0474636673178214E-4
44000,MODERATE,4.023177761028427E-4
45000,MODERATE,6.495033112172402E-4
46000,MODERATE,6.945953289175478E-4
47000,MODERATE,5.939079144506667E-4
48000,MODERATE,5.777341910439808E-4
49000,MODERATE,5.744762584653278E-4
50000,MODERATE,4.1251119300418767E-4
51000,MODERATE,6.889581797597639E-4
52000,ABRUPT,8.509818902599632E-4
53000,ABRUPT,8.345297641828011E-4
54000,MODERATE,7.018093030077135E-4
55000,MODERATE,7.181574738781642E-4
56000,MODERATE,3.8155176369415733E-4
57000,MODERATE,4.039889895213112E-4
58000,MODERATE,7.401786424535211E-4
59000,MODERATE,5.547464598351845E-4
60000,MODERATE,3.766231164081305E-4
61000,MODERATE,6.08475693373145E-4
62000,MODERATE,7.119904377265798E-4
63000,MODERATE,5.409311776302991E-4
64000,MODERATE,6.085729449307159E-4
65000,ABRUPT,8.199500562651433E-4
66000,MODERATE,7.9355106904815E-4
67000,ABRUPT,8.056240745902335E-4
68000,ABRUPT,9.446743292431606E-4
69000,ABRUPT,9.26237977662305E-4
70000,ABRUPT,9.274994859718813E-4
71000,MODERATE,5.957195529773191E-4
72000,MODERATE,6.399677100955125E-4
73000,ABRUPT,9.924829185467493E-4
74000,ABRUPT,9.96864560133859E-4
75000,MODERATE,7.248204035071382E-4
76000,MODERATE,4.7691164138523724E-4
77000,MODERATE,4.460467056781271E-4
78000,MODERATE,4.879041043715294E-4
79000,MODERATE,6.649119644675497E-4
80000,MODERATE,7.433722111856579E-4
81000,MODERATE,3.2185134914841234E-4
82000,MODERATE,5.288500915367549E-4
83000,ABRUPT,8.846465457732579E-4
84000,MODERATE,7.312248773807752E-4
85000,ABRUPT,8.124976919825554E-4
86000,ABRUPT,9.752885306648967E-4
87000,ABRUPT,9.197264976549314E-4
88000,MODERATE,5.138500407091293E-4
89000,MODERATE,3.309509011393131E-4
90000,MODERATE,5.931603159964674E-4
91000,MODERATE,7.536405950590965E-4
92000,MODERATE,4.2324281565115447E-4
93000,MODERATE,4.242443835436563E-4
94000,MODERATE,6.534291673753394E-4
95000,MODERATE,4.688604636319852E-4
96000,MODERATE,6.036675394803781E-4
97000,MODERATE,4.577113932287414E-4
98000,MODERATE,3.1223606491762225E-4
99000,MODERATE,4.845671577506635E-4
100000,MODERATE,5.319188798298546E-4
101000,MODERATE,3.886213559064754E-4
102000,MODERATE,3.552449267087427E-4
103000,MODERATE,6.220061436917762E-4
104000,MODERATE,6.577862424956794E-4
105000,MODERATE,7.645513052137672E-4
106000,MODERATE,6.716848113826328E-4
107000,ABRUPT,8.902017005230899E-4
108000,ABRUPT,9.352246309050736E-4
109000,ABRUPT,9.324051922610755E-4
110000,ABRUPT,9.13458614180741E-4
111000,MODERATE,6.873020547294619E-4
112000,MODERATE,4.532413940526699E-4
113000,MODERATE,6.152007203924956E-4
114000,MODERATE,3.788153069038185E-4
115000,MODERATE,4.893114376803043E-4
116000,MODERATE,6.563760838830467E-4
117000,MODERATE,3.551368057546246E-4
118000,MODERATE,3.150344179394499E-4
119000,MODERATE,5.132215237047145E-4
120000,MODERATE,4.8265286889230877E-4
121000,MODERATE,4.613345955227668E-4
122000,ABRUPT,8.262337626249884E-4
123000,ABRUPT,8.957351744413189E-4
124000,ABRUPT,8.801114322626193E-4
125000,ABRUPT,9.025437646764807E-4
126000,ABRUPT,8.633262957945385E-4
127000,ABRUPT,9.334146706392592E-4
128000,ABRUPT,9.527509798143646E-4
129000,ABRUPT,9.487523095227004E-4
130000,ABRUPT,9.761197339578632E-4
131000,MODERATE,3.1589823849264464E-4
132000,MODERATE,5.222283055476683E-4
133000,MODERATE,6.595378426734022E-4
134000,MODERATE,6.88975136190104E-4
135000,ABRUPT,8.576201432099732E-4
136000,MODERATE,6.906773668147155E-4
137000,GRADUAL,6.466118842597263E-4
138000,MODERATE,7.831269753411046E-4
139000,MODERATE,4.195532181637353E-4
140000,MODERATE,5.225906308668878E-4
141000,MODERATE,3.651109640058129E-4
142000,MODERATE,4.172370437525282E-4
143000,MODERATE,6.280412194941997E-4
144000,MODERATE,5.779833155564581E-4
145000,MODERATE,4.2514812779744204E-4
146000,MODERATE,4.2113807137931033E-4
147000,MODERATE,5.223970029806288E-4
148000,MODERATE,7.148456116745996E-4
149000,ABRUPT,8.351403909000205E-4
150000,MODERATE,6.189734480273499E-4
151000,MODERATE,4.516835723795157E-4
152000,MODERATE,4.3320835366369927E-4
153000,MODERATE,4.14585679183876E-4
154000,MODERATE,4.5198821878116534E-4
155000,MODERATE,7.6901525061629E-4
156000,ABRUPT,8.130794042257739E-4
157000,MODERATE,7.285635213396006E-4
158000,ABRUPT,8.743881026973063E-4
159000,ABRUPT,9.203829272120116E-4
160000,ABRUPT,9.553981931358702E-4
161000,ABRUPT,9.44750241686447E-4
162000,ABRUPT,9.144459185011778E-4
163000,MODERATE,7.035381827620816E-4
164000,MODERATE,4.943646378764606E-4
165000,MODERATE,4.3262323051547507E-4
166000,MODERATE,6.045705407168414E-4
167000,ABRUPT,8.064745706801853E-4
168000,MODERATE,3.893311797050851E-4
169000,MODERATE,3.1481660569867496E-4
170000,MODERATE,3.5789422138806303E-4
171000,MODERATE,4.7450536195469783E-4
172000,ABRUPT,9.416307655881088E-4
173000,ABRUPT,9.840562385096266E-4
174000,MODERATE,4.140677511297346E-4
175000,MODERATE,5.574645704242787E-4
176000,MODERATE,5.973155664935572E-4
177000,MODERATE,4.744906938607779E-4
178000,ABRUPT,8.33519999199912E-4
179000,MODERATE,3.2654673212794403E-4
180000,MODERATE,6.030951021016833E-4
181000,MODERATE,4.8487624964987344E-4
182000,MODERATE,4.122869351055771E-4
183000,MODERATE,7.72996015487689E-4
